setting,model,n_train,n_test,positive_rate,roc_auc,average_precision,accuracy,balanced_accuracy,f1
AskMind,Turn-count,2419,807,0.9925650557620818,0.5583645443196005,0.9940407257903903,0.6579925650557621,0.4968789013732834,0.7931034482758621
AskMind,Lexical-length,2419,807,0.9925650557620818,0.5066583437369954,0.9940302309572957,0.5576208178438662,0.5290262172284644,0.7146282973621103
AskMind,SIG-geometry,2419,807,0.9925650557620818,0.6073657927590511,0.9949798321436116,0.701363073110285,0.6841448189762797,0.8234432234432234
AskMind,SIG+surface,2419,807,0.9925650557620818,0.579900124843945,0.9946442296150446,0.7199504337050805,0.5280898876404494,0.8367052023121387
AskMind,SIG-nonlinear,2419,807,0.9925650557620818,0.7249271743653767,0.997136352680835,0.990086741016109,0.5814606741573034,0.9950124688279302
AskOverconfidence,Turn-count,2490,831,0.9915764139590855,0.518117198335645,0.9921639242076559,0.3104693140794224,0.5106622746185853,0.468952734012975
AskOverconfidence,Lexical-length,2490,831,0.9915764139590855,0.489251040221914,0.9910082800390054,0.3104693140794224,0.5106622746185853,0.468952734012975
AskOverconfidence,SIG-geometry,2490,831,0.9915764139590855,0.5230582524271845,0.9930817212181403,0.30806257521058966,0.5094486823855756,0.4661095636025998
AskOverconfidence,SIG+surface,2490,831,0.9915764139590855,0.4986130374479889,0.9922640959303436,0.30806257521058966,0.5094486823855756,0.4661095636025998
AskOverconfidence,SIG-nonlinear,2490,831,0.9915764139590855,0.5478502080443828,0.9934256429709555,0.9879663056558363,0.4981796116504854,0.9939467312348669
