setting,feature,n,spearman_rho,p_value,rubric_min,rubric_max
AskMind,n_questions,3226,0.21022887561339107,1.5017456888294166e-33,2,7
AskMind,path_length,3226,0.17610370488631577,6.961744800230092e-24,2,7
AskMind,displacement,3226,-0.10807918960452975,7.539790979165331e-10,2,7
AskMind,spiral_ratio,3226,0.2111799432967542,7.603995913862822e-34,2,7
AskMind,turn_curvature,3226,0.17711886521224796,3.8120002289586646e-24,2,7
AskMind,return_fraction,3226,0.17670279011915058,4.881446061764303e-24,2,7
AskOverconfidence,n_questions,3321,0.035659042102389835,0.03989413659321908,2,4
AskOverconfidence,path_length,3321,0.04181037442799886,0.015970029219522112,2,4
AskOverconfidence,displacement,3321,0.005390297060551072,0.7561670800985258,2,4
AskOverconfidence,spiral_ratio,3321,0.035101669100255035,0.043103579794324866,2,4
AskOverconfidence,turn_curvature,3321,0.03391531491543695,0.05066549085331524,2,4
AskOverconfidence,return_fraction,3321,0.0330910102370284,0.05654948134736496,2,4
