Domain,Depth quartile,Top1 accuracy,Instances,Median depth
GSM-Q,Q1,1.0,93,2.0
GSM-Q,Q2,1.0,92,2.0
GSM-Q,Q3,1.0,92,3.0
GSM-Q,Q4,1.0,92,3.0
GSME-Q,Q1,1.0,104,2.0
GSME-Q,Q2,1.0,104,2.0
GSME-Q,Q3,1.0,104,3.0
GSME-Q,Q4,1.0,104,3.0
Logic-Q,Q1,0.6805555555555556,72,2.0
Logic-Q,Q2,0.4861111111111111,72,3.5
Logic-Q,Q3,0.5138888888888888,72,5.0
Logic-Q,Q4,0.5,72,7.0
Planning-Q,Q1,0.29850746268656714,469,4.0
Planning-Q,Q2,0.31982942430703626,469,6.0
Planning-Q,Q3,0.37393162393162394,468,8.0
Planning-Q,Q4,0.4669509594882729,469,10.0
