domain,model,roc_auc,average_precision,n_test_candidates,positive_rate,top1_accuracy
GSM-Q,Proximity-only,1.0,1.0,15404,0.39061282783692547,1.0
GSM-Q,Centrality-only,0.9999362624051287,0.9998821361529538,15404,0.39061282783692547,1.0
GSM-Q,SIG-structural,1.0,1.0,15404,0.39061282783692547,1.0
GSM-Q,SIG-nonlinear,1.0,1.0,15404,0.39061282783692547,1.0
GSME-Q,Proximity-only,0.9991022203446441,0.9971597842124976,4082,0.39759921607055365,1.0
GSME-Q,Centrality-only,0.9985802903915026,0.9971577736788224,4082,0.39759921607055365,1.0
GSME-Q,SIG-structural,0.9988302304434751,0.9968585702818408,4082,0.39759921607055365,1.0
GSME-Q,SIG-nonlinear,0.9995161561500161,0.9986449760084206,4082,0.39759921607055365,1.0
Logic-Q,Proximity-only,0.4521920674232688,0.1496242679864928,4169,0.16262892780043176,0.12152777777777778
Logic-Q,Centrality-only,0.6082344908821589,0.21871980275477004,4169,0.16262892780043176,0.25
Logic-Q,SIG-structural,0.7463437376684589,0.3164222874909271,4169,0.16262892780043176,0.3090277777777778
Logic-Q,SIG-nonlinear,0.8401329503848497,0.4820494609705277,4169,0.16262892780043176,0.5451388888888888
Planning-Q,Proximity-only,0.5511438201636861,0.39751293696138246,8500,0.34105882352941175,0.35306666666666664
Planning-Q,Centrality-only,0.7527154608657511,0.5826456626454323,8500,0.34105882352941175,0.36106666666666665
Planning-Q,SIG-structural,0.8273958926296794,0.7162782308586519,8500,0.34105882352941175,0.36
Planning-Q,SIG-nonlinear,0.9453016477678953,0.9021925556421725,8500,0.34105882352941175,0.3648
