representation,feature,n,spearman_rho,p_value,partial_rho_turns,partial_p_turns,partial_rho_turns_tokens,partial_p_value,fdr_q,turn_fdr_q,partial_fdr_q
char-ngram hash,path_length,3226,0.17610370488631577,6.961744800230092e-24,-0.041075968298109465,0.019642441066405184,-0.03307298213142832,0.060345426020258774,1.0877726250359518e-23,0.0306913141662581,0.11604889619280533
char-ngram hash,displacement,3226,-0.10807918960452975,7.539790979165331e-10,-0.06920780303709957,8.352602076064784e-05,-0.05952578839927873,0.0007179571626578991,8.567944294506057e-10,0.00023201672433513287,0.0022436161333059344
char-ngram hash,spiral_ratio,3226,0.2111799432967542,7.603995913862822e-34,0.03337302365401108,0.058051271183476465,0.001343868240660105,0.9391809585803748,6.336663261552352e-33,0.0806267655326062,0.9781714124840426
char-ngram hash,turn_curvature,3226,0.17711886521224796,3.8120002289586646e-24,-0.06629297849983325,0.00016456915926780645,-0.09363402056606666,9.937581012881728e-08,6.807143265997615e-24,0.00041142289816951613,6.210988133051079e-07
char-ngram hash,return_fraction,3226,0.17670279011915058,4.881446061764303e-24,-0.09261052691589405,1.3689211021361693e-07,-0.009019606699895703,0.6085764875711076,8.135743436273838e-24,1.1407675851134745e-06,0.6915641904217131
word TF-IDF,path_length,3226,0.19772811648839975,8.477291997043313e-30,-0.0075200880482193975,0.6694043694022197,0.012460188426524944,0.47927720257423406,3.0276042846583263e-29,0.6694043694022197,0.5928634289014698
word TF-IDF,displacement,3226,-0.08443026308141498,1.5694889524472024e-06,-0.08244299635515608,2.748701635685279e-06,-0.07214372939680451,4.1071428558888254e-05,1.634884325465836e-06,1.3743508178426394e-05,0.0001466836734246009
word TF-IDF,spiral_ratio,3226,0.21898190064910567,2.5231152059638553e-36,0.07993588510839429,5.475165052455265e-06,0.04446171893792673,0.011550026309395223,6.307788014909639e-35,1.955416090162595e-05,0.02457465278272741
word TF-IDF,turn_curvature,3226,0.18741657106878895,6.896651351718462e-27,-0.06521554270581875,0.00021004733648903622,-0.0913291721973631,2.034517931697564e-07,1.4368023649413464e-26,0.00043759861768549214,1.017258965848782e-06
word TF-IDF,return_fraction,3226,0.19090751566646988,7.444509683555181e-28,0.017053984754822574,0.3328819184654934,-0.027569132305234775,0.1174518536392621,1.8611274208887955e-27,0.3962879981732064,0.19575308939877015
LSA-256,path_length,3226,0.17363547244784766,2.9657290924485514e-23,-0.0626445755719554,0.000370575866497606,-0.044331434611492034,0.011795833335709155,4.1190681839563214e-23,0.0007126458971107807,0.02457465278272741
LSA-256,displacement,3226,-0.09764905847061743,2.7382891786964285e-08,-0.06561581569293908,0.0001919250416428322,-0.05788682347238214,0.0010042499071753078,2.97640128119177e-08,0.0004361932764609823,0.002789583075486966
LSA-256,spiral_ratio,3226,0.2060861733791857,2.8004220898312144e-32,0.019111473106048136,0.2778464926720508,-0.011934778656473497,0.4980052802772347,1.750263806144509e-31,0.3473081158400635,0.5928634289014698
LSA-256,turn_curvature,3226,0.1591873396504114,9.36693036234724e-20,-0.13241656409411023,4.308036032285717e-14,-0.08454054276445021,1.5208741650266963e-06,1.2324908371509526e-19,1.0770090080714292e-12,6.336975687611234e-06
LSA-256,return_fraction,3226,0.17450591372774046,1.783291122620032e-23,-0.08138851174002533,3.681743261110385e-06,-0.028153988307293785,0.10986855330885634,2.6224869450294592e-23,1.534059692129327e-05,0.19575308939877015
binary Jaccard,path_length,3226,0.18872813432435795,3.0034399624945495e-27,-0.04479431414785079,0.01094300518663672,-0.02630044649909253,0.13530917882295845,6.825999914760341e-27,0.019541080690422714,0.2114205919108726
binary Jaccard,displacement,3226,-0.10914636919853409,5.117550082926523e-10,-0.12561567881537544,8.049001964948811e-13,-0.11318676149875102,1.1408259847614481e-10,6.092321527293479e-10,1.0061252456186013e-11,1.4260324809518102e-09
binary Jaccard,spiral_ratio,3226,0.2153268220732825,3.762634068183531e-35,0.041963559801870484,0.017145728417908193,0.015056177933294999,0.3926197231385075,4.703292585229413e-34,0.02857621402984699,0.5497260819429813
binary Jaccard,turn_curvature,3226,0.18726240582825668,7.601494139441896e-27,-0.08730044184744574,6.833302460045737e-07,-0.10711859838903554,1.065286018687708e-09,1.4618257960465184e-26,4.270814037528586e-06,8.877383489064233e-09
binary Jaccard,return_fraction,3226,0.19290844714124478,2.0378216095142865e-28,0.03939289615887899,0.025257949500798495,-0.00048192104752022843,0.9781714124840425,5.660615581984129e-28,0.0371440433835272,0.9781714124840426
random-text control,path_length,3226,0.19457686823227902,6.842872837513006e-29,-0.010700677453519335,0.54348084705304,-0.012015895125176052,0.4950887272891503,2.1383977617228146e-28,0.5907400511446087,0.5928634289014698
random-text control,displacement,3226,0.003167516224660687,0.8572789982059503,0.016368788074233247,0.3526742972606016,0.0149551832737858,0.3958027789989465,0.8572789982059503,0.4007662468870473,0.5497260819429813
random-text control,spiral_ratio,3226,0.20228561354653318,3.8817228091588456e-31,-0.027505840205891856,0.11829654856673523,0.007349730784656231,0.6764640819375995,1.6173845038161855e-30,0.1556533533772832,0.7352870455843473
random-text control,turn_curvature,3226,0.20377933959979755,1.3898998322809864e-31,-0.008795528473289804,0.6175092491503434,-0.045383799868314825,0.009936442459959517,6.949499161404932e-31,0.6432388011982745,0.02457465278272741
random-text control,return_fraction,3226,0.12390565628253576,1.6402785616016111e-12,-0.07916119469779784,6.7471937697645e-06,-0.12295356311907311,2.427903169338691e-12,2.050348202002014e-12,2.1084980530514063e-05,6.069757923346728e-11
