representation_a,representation_b,n,spearman_rho,p_value,fdr_q
char-ngram hash,word TF-IDF,3226,0.5928216731411245,1.74122231792069e-305,3.48244463584138e-305
char-ngram hash,LSA-256,3226,0.5222534068844141,2.917221998627324e-225,4.862036664378874e-225
char-ngram hash,binary Jaccard,3226,0.6387224147673074,0.0,0.0
char-ngram hash,random-text control,3226,-0.03693453531862335,0.035931099437048565,0.044913874296310705
word TF-IDF,LSA-256,3226,0.602264619465516,0.0,0.0
word TF-IDF,binary Jaccard,3226,0.760287477222363,0.0,0.0
word TF-IDF,random-text control,3226,-0.013592923394670144,0.4402413155921592,0.46904312829534967
LSA-256,binary Jaccard,3226,0.6553630892369811,0.0,0.0
LSA-256,random-text control,3226,-0.03844932785873402,0.028976820646436287,0.04139545806633755
binary Jaccard,random-text control,3226,-0.012752025055348084,0.4690431282953496,0.46904312829534967
